Dimension;Density;Algorithm;Num_Robots;Time;Overlapping
10;5;MSTC*;4;275,082539601559;0,2020997375328084
10;5;TMSTC*;4;249,24083688930375;0,14698162729658792
10;5;MSTC*;2;440,1414141046048;0,06561679790026247
10;5;TMSTC*;2;440,0272726941445;0,07874015748031496
10;5;MSTC*;4;272,6252524405909;0,2099737532808399
10;5;TMSTC*;4;253,95440108446326;0,1994750656167979
10;5;MSTC*;2;442,5839826398115;0,07349081364829396
10;5;TMSTC*;2;443,7422799275563;0,09186351706036745
10;5;MSTC*;4;265,7842712474619;0,2335958005249344
10;5;TMSTC*;4;262,7982683540971;0,1784776902887139
10;5;MSTC*;2;435,92784990944523;0,06824146981627296
10;5;TMSTC*;2;442,8836940321612;0,07874015748031496
10;5;MSTC*;4;242,65613273036618;0,15748031496062992
10;5;TMSTC*;4;257,268109583448;0,17060367454068243
10;5;MSTC*;2;456,3696969255258;0,09448818897637795
10;5;TMSTC*;2;435,05670994566714;0,07349081364829396
10;5;MSTC*;4;262,34025967400277;0,2073490813648294
10;5;TMSTC*;4;266,2849927665881;0,26246719160104987
10;5;MSTC*;2;440,0699855331764;0,06561679790026247
10;5;TMSTC*;2;449,4551226035898;0,08923884514435695
10;5;MSTC*;4;259,71284267603335;0,16010498687664043
10;5;TMSTC*;4;276,7268397826686;0,28608923884514437
10;5;MSTC*;2;444,81226546073265;0,07611548556430446
10;5;TMSTC*;2;447,8417027122554;0,09711286089238845
10;5;MSTC*;4;249,24083688930375;0,17060367454068243
10;5;TMSTC*;4;262,92784990944523;0,1837270341207349
10;5;MSTC*;2;437,05598842654103;0,06561679790026247
10;5;TMSTC*;2;454,92640687119285;0,09973753280839895
10;5;MSTC*;4;249,14141410460473;0,1732283464566929
10;5;TMSTC*;4;252,78282820920947;0,18635170603674542
10;5;MSTC*;2;449,84098119312927;0,08923884514435695
10;5;TMSTC*;2;427,0132755875092;0,049868766404199474
10;5;MSTC*;4;260,77027414082664;0,23097112860892388
10;5;TMSTC*;4;232,1708513561276;0,10236220472440945
10;5;MSTC*;2;446,81370849898485;0,07349081364829396
10;5;TMSTC*;2;443,0132755875091;0,08923884514435695
10;5;MSTC*;4;265,24083688930375;0,2099737532808399
10;5;TMSTC*;4;261,74083688930375;0,1942257217847769
10;5;MSTC*;2;441,8417027122553;0,07349081364829396
10;5;TMSTC*;2;447,4985569617477;0,08398950131233596
10;5;MSTC*;4;250,427128390319;0,1837270341207349
10;5;TMSTC*;4;262,28499276658806;0,15223097112860892
10;5;MSTC*;2;452,66940831787554;0,08923884514435695
10;5;TMSTC*;2;433,58470415893765;0,05774278215223097
10;5;MSTC*;4;250,1981240502719;0,1784776902887139
10;5;TMSTC*;4;253,92712839031898;0,16010498687664043
10;5;MSTC*;2;448,2982683540974;0,08136482939632546
10;5;TMSTC*;2;463,3402596740033;0,11023622047244094
10;5;MSTC*;4;250,95584412271566;0,15485564304461943
10;5;TMSTC*;4;266,513275587509;0,25196850393700787
10;5;MSTC*;2;439,1554112112403;0,06561679790026247
10;5;TMSTC*;2;450,85569981889046;0,09973753280839895
10;5;MSTC*;4;250,34098119312904;0,16010498687664043
10;5;TMSTC*;4;250,99927848087378;0,2178477690288714
10;5;MSTC*;2;442,4985569617478;0,05774278215223097
10;5;TMSTC*;2;434,82770560562;0,06561679790026247
10;5;MSTC*;4;258,5412698007795;0,16535433070866143
10;5;TMSTC*;4;267,09797974644664;0,2440944881889764
10;5;MSTC*;2;444,28427124746196;0,08398950131233596
10;5;TMSTC*;2;439,913131283684;0,08923884514435695
10;5;MSTC*;4;255,7275613017947;0,18110236220472442
10;5;TMSTC*;4;243,74155840842997;0,17060367454068243
10;5;MSTC*;2;436,7128426760335;0,05774278215223097
10;5;TMSTC*;2;431,6568542494924;0,07611548556430446
10;5;MSTC*;4;253,15613273036615;0,1679790026246719
10;5;TMSTC*;4;240,38441555128708;0,14173228346456693
10;5;MSTC*;2;450,36969692552594;0,08661417322834646
10;5;TMSTC*;2;436,8991341770486;0,07611548556430446
10;5;MSTC*;4;254,18484846276283;0,16535433070866143
10;5;TMSTC*;4;257,9698412293509;0,2020997375328084
10;5;MSTC*;2;436,6848484627629;0,06561679790026247
10;5;TMSTC*;2;449,99855696174785;0,08923884514435695
10;5;MSTC*;4;251,65685424949237;0,2047244094488189
